Seed, Tile Index, Algorithm,Vertex Count, Triangle Count,Vertex Reduction Rate (%),Triangle Reduction Rate (%), Min Deviation, Max Deviation, Mean Deviation
-1281965224, 45, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0025414748, 7.347968E-05
-1281965224, 46, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.001086235, 5.583435E-05
-1281965224, 47, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0016117103, 1.662713E-05
-1281965224, 48, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0008107424, 1.6347249E-05
-1281965224, 49, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0041154623, 0.00012318855
-1281965224, 50, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0015800595, 2.725732E-05
-1281965224, 51, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.00073224306, 3.6399558E-06
-1281965224, 52, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.00361979, 8.0249796E-05
-1281965224, 53, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023339225, 6.44176E-05
-1281965224, 54, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0027569532, 7.972011E-05
-1281965224, 55, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0025826097, 6.9371745E-05
-1281965224, 56, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0018366575, 6.173066E-05
-1281965224, 57, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0011184216, 1.7261073E-05
-1281965224, 58, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0013448, 1.5165491E-05
-1281965224, 59, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0036551713, 0.00012098856
-1281965224, 60, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0032210946, 0.00010409326
-1281965224, 61, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0029386515, 8.7232605E-05
-1281965224, 62, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0019577742, 5.5486E-05
-1281965224, 63, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002710821, 0.00010947574
-1281965224, 64, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0020263195, 0.00010102752
-1281965224, 65, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0019393563, 4.090503E-05
-1281965224, 66, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0061309338, 0.00020323759
-1281965224, 67, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0025328398, 0.00010301687
-1281965224, 68, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0022609225, 9.564433E-05
-1281965224, 69, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002579391, 3.6253456E-05
-1281965224, 70, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0010764003, 1.3768652E-05
-1281965224, 71, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.001960094, 3.8637856E-05
-1281965224, 72, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0045008925, 0.0001652015
-1281965224, 73, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.004658953, 5.7351066E-05
-1281965224, 74, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0020970106, 9.705789E-05
-1281965224, 75, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0022086129, 9.029102E-05
-1281965224, 76, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023337603, 7.855602E-05
-1281965224, 77, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.003943473, 0.00012227922
-1281965224, 78, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.003770709, 0.00010014175
-1281965224, 79, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0031235218, 7.286847E-05
-1281965224, 80, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002138428, 4.801128E-05
-1281965224, 81, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.004666044, 0.00012827695
-1281965224, 82, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0012087822, 4.4168584E-05
-1281965224, 83, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0044461098, 7.58274E-05
-1281965224, 84, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0018629432, 5.685075E-05
-1281965224, 85, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0036043525, 8.953006E-05
-1281965224, 86, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023893118, 5.3357482E-05
-1281965224, 87, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.00296784, 7.04696E-05
-1281965224, 88, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0022393465, 0.00013336999
-1281965224, 89, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0014295578, 4.5727185E-05
-1281965224, 90, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0007326007, 1.7450527E-06
-1281965224, 91, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.001930654, 5.371605E-05
-1281965224, 92, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0024672747, 7.4886724E-05
-1281965224, 93, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0012991428, 4.568229E-06
-1281965224, 94, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0038263516, 8.069661E-05
-1281965224, 95, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023716688, 6.566636E-05
-1281965224, 96, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0024718046, 6.7853834E-05
-1281965224, 97, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023556352, 4.7911577E-05
-1281965224, 98, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0030836463, 9.45216E-05
-1281965224, 99, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0011793375, 1.1077033E-05
-1281965224, 100, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0009112358, 4.885056E-06
-1281965224, 101, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.001998186, 7.147478E-05
-1281965224, 102, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0029064417, 0.000121733334
-1281965224, 103, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0034754872, 0.00013809603
-1281965224, 104, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0059376955, 0.00012658154
-1281965224, 105, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.004565072, 0.0001223185
-1281965224, 106, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0015056585, 4.9881248E-05
-1281965224, 107, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002470851, 3.5655787E-05
-1281965224, 108, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002472639, 4.02216E-05
-1281965224, 109, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0023881197, 0.00010981997
-1281965224, 110, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0027182102, 0.00010773175
-1281965224, 111, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.004097978, 0.000112774615
-1281965224, 112, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.004337907, 9.09658E-05
-1281965224, 113, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.006536424, 0.0001693449
-1281965224, 114, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0027007263, 6.6605346E-05
-1281965224, 115, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0028024912, 0.00012274306
-1281965224, 116, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0032060146, 8.8098364E-05
-1281965224, 117, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0017338395, 7.5036165E-05
-1281965224, 118, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0012806654, 5.7609774E-05
-1281965224, 119, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.002171874, 0.00010697163
-1281965224, 120, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0019630194, 7.083486E-05
-1281965224, 121, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0053064823, 8.508137E-05
-1281965224, 122, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0019947886, 4.6415345E-05
-1281965224, 123, Terrain Generator, 674880, 1244160, 0.5101597, 0.4982699, 0, 0.0030075856, 9.886191E-05
